 time            v(s1)           v(s2)           i(vmeas)        v(s1b)          v(s2b)          i(vmeas1)      
 0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.00000000e-11  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 2.00000000e-11  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.00000000e-11  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 8.00000000e-11  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.60000000e-10  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.20000000e-10  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 6.40000000e-10  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 2.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 6.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 7.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 8.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 9.28000000e-09  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.02800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.12800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.22800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.32800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.42800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.52800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.62800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.72800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.82800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.92800000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 2.00000000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 2.00100000e-08  1.01000000e+00  1.00000000e+00  5.41862910e-08  1.00000000e+00  1.01000000e+00 -5.41862910e-08 
 2.00300000e-08  1.03000000e+00  1.00000000e+00  1.62593065e-07  1.00000000e+00  1.03000000e+00 -1.62593065e-07 
 2.00700000e-08  1.07000000e+00  1.00000000e+00  3.80981569e-07  1.00000000e+00  1.07000000e+00 -3.80981569e-07 
 2.01000000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.01080000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.01240000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.01560000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.02200000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.03480000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.06040000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.11160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.21160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.31160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.41160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.51160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.61160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.71160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.81160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 2.91160000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 3.00000000e-08  1.10000000e+00  1.00000000e+00  5.46760422e-07  1.00000000e+00  1.10000000e+00 -5.46760422e-07 
 3.00100000e-08  1.09000000e+00  1.00000000e+00  4.91102229e-07  1.00000000e+00  1.09000000e+00 -4.91102229e-07 
 3.00300000e-08  1.07000000e+00  1.00000000e+00  3.80981569e-07  1.00000000e+00  1.07000000e+00 -3.80981569e-07 
 3.00700000e-08  1.03000000e+00  1.00000000e+00  1.62690781e-07  1.00000000e+00  1.03000000e+00 -1.62690781e-07 
 3.01000000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.01080000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.01240000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.01560000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.02200000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.03480000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.06040000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.11160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.21160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.31160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.41160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.51160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.61160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.71160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.81160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 3.91160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.01160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.11160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.21160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.31160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.41160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.51160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.61160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.71160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.81160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 4.91160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.01160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.11160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.21160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.31160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.41160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.51160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.61160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.71160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.81160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 5.91160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 6.01160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 6.11160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 6.21160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 6.31160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
 6.41160000e-08  1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00 
